PosX, PosY, PosZ, NormVecX, NormVecY, NormVecZ,Value, IsRightHand
-0.1,0,0.1,-0.350742867,0.487218691,0.799748328,78.64944275,1
-0.1,0,0.2,-0.026781445,0.400356824,0.915967886,75.18126696,1
-0.1,0,0.3,-0.00403878,0.339415389,0.940627919,71.81918172,1
-0.1,0,0.4,0.009192554,0.301878949,0.953301944,69.45048807,1
-0.1,0.1,-0.3,-0.394605938,0.627235074,-0.671462817,83.1605844,1
-0.1,0.1,-0.2,-0.453351628,0.706280908,-0.543727488,84.30785267,1
-0.1,0.1,-0.1,-0.436910971,0.859112346,0.266523508,81.07018858,1
-0.1,0.1,0,-0.265232956,0.751646335,0.603886799,80.37270358,1
-0.1,0.1,0.1,-0.200320981,0.735537552,0.647190863,79.88308172,1
-0.1,0.1,0.2,-0.155221646,0.598365093,0.786044182,76.56003041,1
-0.1,0.1,0.3,-0.066543699,0.51892411,0.852226322,72.33797912,1
-0.1,0.1,0.4,0.018375138,0.441230171,0.897205824,69.452844,1
-0.1,0.2,-0.3,-0.265831359,0.829651095,-0.490930493,79.6984547,1
-0.1,0.2,-0.2,-0.328653907,0.917646022,-0.223410802,80.34711198,1
-0.1,0.2,-0.1,-0.286165699,0.943115988,0.169237779,78.12895367,1
-0.1,0.2,0,-0.231821475,0.930695038,0.282958565,77.68385244,1
-0.1,0.2,0.1,-0.217574191,0.885700246,0.410117722,77.15471067,1
-0.1,0.2,0.2,-0.026222178,0.741280794,0.670682623,75.98364582,1
-0.1,0.2,0.3,-0.12377528,0.726753937,0.67565405,72.45822577,1
-0.1,0.2,0.4,-0.042382907,0.642550286,0.765070467,70.42126137,1
0,-0.4,-0.3,0.087208921,-0.733099988,-0.674506495,78.65619063,1
0,-0.4,-0.2,0.14271955,-0.912741305,-0.382798172,79.56106244,1
0,-0.4,-0.1,0.142093421,-0.982448681,-0.120847215,78.21937722,1
0,-0.4,0,0.180625321,-0.887658033,0.423600885,76.23463144,1
0,-0.4,0.1,0.101358078,-0.833751935,0.542756162,74.85503326,1
0,-0.4,0.2,0.220711237,-0.652467524,0.724963916,73.94956114,1
0,-0.4,0.3,0.018316023,-0.487007435,0.87320575,71.48788525,1
0,-0.4,0.4,0.162417944,-0.154774747,0.974507665,70.19814912,1
0,-0.3,-0.3,0.171183127,-0.635517358,-0.752870524,81.46750287,1
0,-0.3,-0.2,0.201863202,-0.882620839,-0.424537044,82.83774567,1
0,-0.3,-0.1,0.263423758,-0.960267918,-0.092159915,81.14639179,1
0,-0.3,0,0.231558801,-0.847619561,0.477411355,78.44853723,1
0,-0.3,0.1,0.231581159,-0.78917463,0.568835275,76.48134001,1
0,-0.3,0.2,-0.089560677,-0.67525907,0.732122991,74.49283175,1
0,-0.3,0.3,0.137582255,-0.42754645,0.893462454,72.61111298,1
0,-0.3,0.4,0.083911003,-0.066284415,0.994266222,69.76548217,1
0,-0.2,-0.3,0.217820839,-0.407824081,-0.886698146,85.39847526,1
0,-0.2,-0.2,0.149083981,-0.669044217,-0.728116613,87.6808045,1
0,-0.2,-0.1,0.20995365,-0.950750266,-0.228020605,88.56991551,1
0,-0.2,0,0.189733132,-0.628131655,0.75462041,78.42430756,1
0,-0.2,0.1,0.30964386,-0.76585248,0.563551825,76.85228787,1
0,-0.2,0.2,0.292392192,-0.466655986,0.834708929,73.11461051,1
0,-0.2,0.3,0.107467477,0.030621486,0.99373692,73.47120848,1
0,-0.2,0.4,0.100542627,0.059283366,0.993164973,72.1249362,1
0,-0.1,-0.3,0.110434533,0.063415894,-0.991858174,87.0430691,1
0,-0.1,-0.2,0.012637164,-0.068793562,-0.997550875,91.0247036,1
0,-0.1,-0.1,0.249759362,-0.501888275,-0.828087206,92.71443434,1
0,-0.1,0,0.161010767,0.022018566,0.986707006,78.61330944,1
0,-0.1,0.1,0.372976701,-0.059416056,0.925936344,76.63846744,1
0,-0.1,0.2,0.478743169,-0.15516577,0.864134574,72.00139186,1
0,-0.1,0.3,0.129289187,0.222740319,0.966266556,73.43282655,1
0,-0.1,0.4,0.125967045,0.209945074,0.969564526,74.18256999,1
0,0,-0.3,0.11648967,0.344073563,-0.931688542,85.84990598,1
0,0,-0.2,0.093106369,0.541522794,-0.835514373,92.61518068,1
0,0,-0.1,0.425573719,0.866384337,-0.261276082,88.68680371,1
0,0,0,-0.059213187,0.572288308,0.817911909,81.00320392,1
0,0,0.1,0.006696306,0.492825878,0.870102186,78.56309758,1
0,0,0.2,0.309028392,0.11662305,0.943875266,73.43148729,1
0,0,0.3,0.283162629,0.088851617,0.954947284,70.80718442,1
0,0,0.4,0.133788327,0.289874708,0.947667314,72.08035529,1
0,0.1,-0.3,-0.015011127,0.687684857,-0.72585412,84.80642553,1
0,0.1,-0.2,0.022462923,0.824152813,-0.565921865,84.95489061,1
0,0.1,-0.1,0.064194517,0.969831009,0.235174144,82.09535404,1
0,0.1,0,0.303390279,0.946555884,0.10948195,82.63853533,1
